PID,trial,response,rt,accuracy,display,filename,gradient_type,inversion_type,light_direction,quadrant,num_distractors,answer,distractor_bin
85,76.0,2,1836.200000000012,1,Task,image_55.jpg,vertical,inverted,bottom,Quadrant 2,21.0,2.0,21–24
85,77.0,3,2301.780000000028,0,Task,image_79.jpg,horizontal,original,left,Quadrant 4,13.0,4.0,13–16
85,78.0,3,1492.140000000014,1,Task,image_69.jpg,horizontal,original,left,Quadrant 3,5.0,3.0,5–8
85,79.0,3,1767.5999999999767,1,Task,image_20.jpg,vertical,original,top,Quadrant 3,23.0,3.0,21–24
85,80.0,1,2570.919999999984,0,Task,image_88.jpg,horizontal,original,left,Quadrant 2,27.0,2.0,25-32
85,81.0,4,1551.280000000028,1,Task,image_57.jpg,vertical,inverted,bottom,Quadrant 4,26.0,4.0,25-32
85,82.0,1,1822.0599999999977,1,Task,image_59.jpg,vertical,inverted,bottom,Quadrant 1,29.0,1.0,25-32
85,83.0,2,2331.780000000028,0,Task,image_25.jpg,vertical,original,top,Quadrant 4,26.0,4.0,25-32
85,84.0,4,1315.780000000028,1,Task,image_62.jpg,vertical,inverted,bottom,Quadrant 4,39.0,4.0,33-49
85,85.0,2,1624.2000000000116,1,Task,image_124.jpg,horizontal,inverted,right,Quadrant 2,36.0,2.0,33-49
85,86.0,2,1926.1599999999744,1,Task,image_65.jpg,horizontal,original,left,Quadrant 2,1.0,2.0,1–4
85,87.0,4,2402.899999999907,1,Task,image_80.jpg,horizontal,original,left,Quadrant 4,19.0,4.0,17–20
85,88.0,3,2145.0,1,Task,image_76.jpg,horizontal,original,left,Quadrant 3,15.0,3.0,13–16
85,89.0,2,1709.1199999999951,1,Task,image_45.jpg,vertical,inverted,bottom,Quadrant 2,16.0,2.0,13–16
85,90.0,4,2022.119999999996,1,Task,image_15.jpg,vertical,original,top,Quadrant 4,13.0,4.0,13–16
85,91.0,1,2411.5999999999767,1,Task,image_27.jpg,vertical,original,top,Quadrant 1,29.0,1.0,25-32
85,92.0,4,2052.719999999972,1,Task,image_117.jpg,horizontal,inverted,right,Quadrant 4,22.0,4.0,21–24
85,93.0,4,2211.859999999986,1,Task,image_121.jpg,horizontal,inverted,right,Quadrant 4,26.0,4.0,25-32
85,94.0,3,2357.2399999999907,1,Task,image_84.jpg,horizontal,original,left,Quadrant 3,23.0,3.0,21–24
85,95.0,4,1868.9400000000023,1,Task,image_41.jpg,vertical,inverted,bottom,Quadrant 4,10.0,4.0,9–12
85,96.0,3,1424.219999999972,1,Task,image_43.jpg,vertical,inverted,bottom,Quadrant 3,9.0,3.0,9–12
85,97.0,2,2510.419999999984,0,Task,image_114.jpg,horizontal,inverted,right,Quadrant 3,17.0,3.0,17–20
85,98.0,4,2245.119999999996,1,Task,image_70.jpg,horizontal,original,left,Quadrant 4,7.0,4.0,5–8
85,99.0,4,2849.4799999999814,1,Task,image_112.jpg,horizontal,inverted,right,Quadrant 4,19.0,4.0,17–20
85,100.0,3,1468.4400000000023,1,Task,image_61.jpg,vertical,inverted,bottom,Quadrant 3,35.0,3.0,33-49
85,101.0,1,1648.460000000021,1,Task,image_106.jpg,horizontal,inverted,right,Quadrant 1,11.0,1.0,9–12
85,102.0,2,1231.140000000014,1,Task,image_40.jpg,vertical,inverted,bottom,Quadrant 2,12.0,2.0,9–12
85,103.0,2,2663.5,1,Task,image_17.jpg,vertical,original,top,Quadrant 2,20.0,2.0,17–20
85,104.0,1,1462.359999999986,1,Task,image_54.jpg,vertical,inverted,bottom,Quadrant 1,24.0,1.0,21–24
85,105.0,4,2536.400000000024,1,Task,image_105.jpg,horizontal,inverted,right,Quadrant 4,10.0,4.0,9–12
85,106.0,1,1945.419999999984,1,Task,image_3.jpg,vertical,original,top,Quadrant 1,4.0,1.0,1–4
85,107.0,3,1909.780000000028,1,Task,image_64.jpg,horizontal,original,left,Quadrant 3,2.0,3.0,1–4
85,108.0,2,2237.539999999979,0,Task,image_116.jpg,horizontal,inverted,right,Quadrant 3,23.0,3.0,21–24
85,109.0,3,2926.640000000014,1,Task,image_90.jpg,horizontal,original,left,Quadrant 3,31.0,3.0,25-32
85,110.0,1,1533.0,1,Task,image_103.jpg,horizontal,inverted,right,Quadrant 1,8.0,1.0,5–8
85,111.0,1,1533.9799999999814,1,Task,image_46.jpg,vertical,inverted,bottom,Quadrant 1,14.0,1.0,13–16
85,112.0,2,1870.960000000021,1,Task,image_60.jpg,vertical,inverted,bottom,Quadrant 2,36.0,2.0,33-49
85,113.0,3,2172.119999999996,1,Task,image_82.jpg,horizontal,original,left,Quadrant 3,17.0,3.0,17–20
85,114.0,3,1375.960000000021,1,Task,image_0.jpg,vertical,original,top,Quadrant 3,2.0,3.0,1–4
85,115.0,4,2278.719999999972,1,Task,image_85.jpg,horizontal,original,left,Quadrant 4,22.0,4.0,21–24
85,116.0,3,1212.3400000000256,1,Task,image_44.jpg,vertical,inverted,bottom,Quadrant 3,15.0,3.0,13–16
85,117.0,4,2335.900000000024,0,Task,image_24.jpg,vertical,original,top,Quadrant 2,27.0,2.0,25-32
85,118.0,4,2350.919999999984,0,Task,image_109.jpg,horizontal,inverted,right,Quadrant 2,16.0,2.0,13–16
85,119.0,2,1077.7399999999907,1,Task,image_4.jpg,vertical,original,top,Quadrant 2,6.0,2.0,5–8
85,120.0,3,2437.7999999999884,0,Task,image_126.jpg,horizontal,inverted,right,Quadrant 4,39.0,4.0,33-49
85,121.0,2,2077.6599999999744,1,Task,image_92.jpg,horizontal,original,left,Quadrant 2,36.0,2.0,33-49
85,122.0,1,2581.5200000000186,1,Task,image_10.jpg,vertical,original,top,Quadrant 1,11.0,1.0,9–12
85,123.0,3,2345.960000000021,0,Task,image_91.jpg,horizontal,original,left,Quadrant 1,29.0,1.0,25-32
85,124.0,1,1814.280000000028,1,Task,image_14.jpg,vertical,original,top,Quadrant 1,14.0,1.0,13–16
85,125.0,1,2248.700000000012,0,Task,image_23.jpg,vertical,original,top,Quadrant 2,21.0,2.0,21–24
85,126.0,2,1829.6599999999744,1,Task,image_13.jpg,vertical,original,top,Quadrant 2,16.0,2.0,13–16
85,127.0,3,2717.2999999999884,1,Task,image_122.jpg,horizontal,inverted,right,Quadrant 3,31.0,3.0,25-32
85,128.0,1,1286.039999999979,1,Task,image_63.jpg,vertical,inverted,bottom,Quadrant 1,34.0,1.0,33-49
33,1.0,2,537.5999999821215,0,Task,image_14.jpg,vertical,original,top,Quadrant 1,14.0,1.0,13–16
33,2.0,2,605.6999999821128,0,Task,image_50.jpg,vertical,inverted,bottom,Quadrant 3,17.0,3.0,17–20
33,3.0,1,849.1000000000058,0,Task,image_113.jpg,horizontal,inverted,right,Quadrant 2,20.0,2.0,17–20
33,4.0,1,1167.7999999999884,0,Task,image_6.jpg,vertical,original,top,Quadrant 4,7.0,4.0,5–8
33,5.0,2,880.0999999940395,1,Task,image_124.jpg,horizontal,inverted,right,Quadrant 2,36.0,2.0,33-49
33,6.0,1,1189.7999999761523,0,Task,image_76.jpg,horizontal,original,left,Quadrant 3,15.0,3.0,13–16
33,7.0,2,1017.3999999999796,0,Task,image_123.jpg,horizontal,inverted,right,Quadrant 1,29.0,1.0,25-32
33,8.0,1,757.0999999880733,0,Task,image_120.jpg,horizontal,inverted,right,Quadrant 2,27.0,2.0,25-32
33,9.0,2,1522.999999976164,1,Task,image_55.jpg,vertical,inverted,bottom,Quadrant 2,21.0,2.0,21–24
